departure_airport_id,departure_airport,departure_terminal,departure_gate,departure_delay,,,,,,arrival_airport_id,arrival_airport,,,,,,,,,,Country
206,La Aurora,NULL,17,12,,,,,,1,Los Angeles International,,,,,,,,,,Guatemala
207,El Salvador International,NULL,9,17,,,,,,1,Los Angeles International,,,,,,,,,,El Salvador
35,Internacional Benito Juarez,2,60,21,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
35,Internacional Benito Juarez,2,60,21,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
35,Internacional Benito Juarez,2,60,21,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
209,Findel,NULL,NULL,73,,,,,,1,Los Angeles International,,,,,,,,,,Luxembourg
81,Seoul (Incheon),2,268,18,,,,,,1,Los Angeles International,,,,,,,,,,South Korea
81,Seoul (Incheon),2,268,18,,,,,,1,Los Angeles International,,,,,,,,,,South Korea
81,Seoul (Incheon),2,268,18,,,,,,1,Los Angeles International,,,,,,,,,,South Korea
81,Seoul (Incheon),2,268,18,,,,,,1,Los Angeles International,,,,,,,,,,South Korea
6,Schiphol,NULL,NULL,2,,,,,,1,Los Angeles International,,,,,,,,,,Netherlands
,,,,,,,,,,,,,,,,,,,,,
219,Hong Kong International,1,2,17,,,,,,1,Los Angeles International,,,,,,,,,,Hong Kong
230,Kingsford Smith,1,31,9,,,,,,1,Los Angeles International,,,,,,,,,,Australia
230,Kingsford Smith,1,31,9,,,,,,1,Los Angeles International,,,,,,,,,,Australia
194,Doha International,NULL,C1,48,,,,,,1,Los Angeles International,,,,,,,,,,Qatar
194,Doha International,NULL,C1,48,,,,,,1,Los Angeles International,,,,,,,,,,Qatar
194,Doha International,NULL,C1,48,,,,,,1,Los Angeles International,,,,,,,,,,Qatar
81,Seoul (Incheon),2,267,10,,,,,,1,Los Angeles International,,,,,,,,,,South Korea
81,Seoul (Incheon),2,267,10,,,,,,1,Los Angeles International,,,,,,,,,,South Korea
81,Seoul (Incheon),2,267,10,,,,,,1,Los Angeles International,,,,,,,,,,South Korea
81,Seoul (Incheon),2,267,10,,,,,,1,Los Angeles International,,,,,,,,,,South Korea
230,Kingsford Smith,1,50,17,,,,,,1,Los Angeles International,,,,,,,,,,Australia
52,Fuzhou,NULL,NULL,94,,,,,,1,Los Angeles International,,,,,,,,,,China
218,Taiwan Taoyuan International (Chiang Kai Shek International),NULL,NULL,73,,,,,,1,Los Angeles International,,,,,,,,,,Taiwan
218,Taiwan Taoyuan International (Chiang Kai Shek International),NULL,513,66,,,,,,1,Los Angeles International,,,,,,,,,,Taiwan
233,Tullamarine,NULL,4,26,,,,,,1,Los Angeles International,,,,,,,,,,Australia
35,Internacional Benito Juarez,1,35,16,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
35,Internacional Benito Juarez,1,35,16,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
35,Internacional Benito Juarez,2,55,37,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
35,Internacional Benito Juarez,2,55,37,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
35,Internacional Benito Juarez,2,55,37,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
35,Internacional Benito Juarez,1,30,34,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
35,Internacional Benito Juarez,1,30,34,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
208,Daniel Oduber International,NULL,3,10,,,,,,1,Los Angeles International,,,,,,,,,,Costa Rica
19,Haneda Airport,3,110,21,,,,,,1,Los Angeles International,,,,,,,,,,Japan
19,Haneda Airport,3,114,10,,,,,,1,Los Angeles International,,,,,,,,,,Japan
22,Los Cabos,2,14,11,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
22,Los Cabos,2,14,11,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
61,Cancún International,3,C6,18,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
61,Cancún International,3,C6,18,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
61,Cancún International,2,A7,44,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
22,Los Cabos,2,4A,2,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
218,Taiwan Taoyuan International (Chiang Kai Shek International),NULL,NULL,13,,,,,,1,Los Angeles International,,,,,,,,,,Taiwan
22,Los Cabos,2,3A,4,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
22,Los Cabos,2,2A,3,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
22,Los Cabos,2,2A,3,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
22,Los Cabos,2,2A,3,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
35,Internacional Benito Juarez,NULL,NULL,16,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
167,Juan Santamaría International,M,3,8,,,,,,1,Los Angeles International,,,,,,,,,,Costa Rica
218,Taiwan Taoyuan International (Chiang Kai Shek International),2,D5,13,,,,,,1,Los Angeles International,,,,,,,,,,Taiwan
238,Shenzhen,T3,NULL,10,,,,,,1,Los Angeles International,,,,,,,,,,China
181,Licenciado Gustavo Díaz Ordaz International,1,B09,8,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
22,Los Cabos,2,12,10,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
22,Los Cabos,2,12,10,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
61,Cancún International,3,C15,11,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
61,Cancún International,3,C15,11,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
61,Cancún International,3,C15,11,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
230,Kingsford Smith,1,60,16,,,,,,1,Los Angeles International,,,,,,,,,,Australia
230,Kingsford Smith,1,54,4,,,,,,1,Los Angeles International,,,,,,,,,,Australia
230,Kingsford Smith,1,58,18,,,,,,1,Los Angeles International,,,,,,,,,,Australia
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
49,Narita International Airport,NULL,NULL,6,,,,,,1,Los Angeles International,,,,,,,,,,Japan
35,Internacional Benito Juarez,1,29,17,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
35,Internacional Benito Juarez,1,29,17,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
35,Internacional Benito Juarez,1,29,17,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
,,,,,,,,,,,,,,,,,,,,,
56,Tocumen International,2,201,38,,,,,,1,Los Angeles International,,,,,,,,,,Panama
56,Tocumen International,2,201,38,,,,,,1,Los Angeles International,,,,,,,,,,Panama
56,Tocumen International,2,201,38,,,,,,1,Los Angeles International,,,,,,,,,,Panama
181,Licenciado Gustavo Díaz Ordaz International,1,11,8,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
181,Licenciado Gustavo Díaz Ordaz International,1,11,8,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
181,Licenciado Gustavo Díaz Ordaz International,1,11,8,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
,,,,,,,,,,,,,,,,,,,,,
241,Gen Rafael Buelna,A,4,4,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
35,Internacional Benito Juarez,2,71,29,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
6,Schiphol,NULL,NULL,7,,,,,,1,Los Angeles International,,,,,,,,,,Netherlands
19,Haneda Airport,NULL,NULL,3,,,,,,1,Los Angeles International,,,,,,,,,,Japan
35,Internacional Benito Juarez,2,54,42,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
35,Internacional Benito Juarez,2,54,42,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
35,Internacional Benito Juarez,2,54,42,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
218,Taiwan Taoyuan International (Chiang Kai Shek International),1,A8,NULL,,,,,,1,Los Angeles International,,,,,,,,,,Taiwan
54,Don Miguel Hidalgo y Costilla International,1,B11,13,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
220,Shanghai Pudong International,NULL,NULL,14,,,,,,1,Los Angeles International,,,,,,,,,,China
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
81,Seoul (Incheon),1,14,12,,,,,,1,Los Angeles International,,,,,,,,,,South Korea
81,Seoul (Incheon),1,14,12,,,,,,1,Los Angeles International,,,,,,,,,,South Korea
81,Seoul (Incheon),1,14,12,,,,,,1,Los Angeles International,,,,,,,,,,South Korea
81,Seoul (Incheon),1,14,12,,,,,,1,Los Angeles International,,,,,,,,,,South Korea
81,Seoul (Incheon),1,14,12,,,,,,1,Los Angeles International,,,,,,,,,,South Korea
228,Singapore Changi,3,A13,10,,,,,,1,Los Angeles International,,,,,,,,,,Singapore
228,Singapore Changi,3,A13,10,,,,,,1,Los Angeles International,,,,,,,,,,Singapore
49,Narita International Airport,2,63,28,,,,,,1,Los Angeles International,,,,,,,,,,Japan
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
35,Internacional Benito Juarez,2,57,23,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
35,Internacional Benito Juarez,2,57,23,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
35,Internacional Benito Juarez,2,57,23,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
207,El Salvador International,NULL,8,7,,,,,,1,Los Angeles International,,,,,,,,,,El Salvador
217,Ataturk Airport,NULL,B3,18,,,,,,1,Los Angeles International,,,,,,,,,,Turkey
217,Ataturk Airport,NULL,B3,18,,,,,,1,Los Angeles International,,,,,,,,,,Turkey
217,Ataturk Airport,NULL,B3,18,,,,,,1,Los Angeles International,,,,,,,,,,Turkey
217,Ataturk Airport,NULL,B3,18,,,,,,1,Los Angeles International,,,,,,,,,,Turkey
218,Taiwan Taoyuan International (Chiang Kai Shek International),2,D7,3,,,,,,1,Los Angeles International,,,,,,,,,,Taiwan
54,Don Miguel Hidalgo y Costilla International,NULL,NULL,7,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
52,Fuzhou,NULL,NULL,81,,,,,,1,Los Angeles International,,,,,,,,,,China
220,Shanghai Pudong International,NULL,NULL,10,,,,,,1,Los Angeles International,,,,,,,,,,China
81,Seoul (Incheon),2,266,10,,,,,,1,Los Angeles International,,,,,,,,,,South Korea
81,Seoul (Incheon),2,266,10,,,,,,1,Los Angeles International,,,,,,,,,,South Korea
81,Seoul (Incheon),2,266,10,,,,,,1,Los Angeles International,,,,,,,,,,South Korea
81,Seoul (Incheon),2,266,10,,,,,,1,Los Angeles International,,,,,,,,,,South Korea
35,Internacional Benito Juarez,NULL,NULL,46,,,,,,1,Los Angeles International,,,,,,,,,,Mexico
218,Taiwan Taoyuan International (Chiang Kai Shek International),2,C5,24,,,,,,1,Los Angeles International,,,,,,,,,,Taiwan
218,Taiwan Taoyuan International (Chiang Kai Shek International),2,C5,24,,,,,,1,Los Angeles International,,,,,,,,,,Taiwan
