departure_to_lax,departure_count_lax,arrival_airport_lax,iata_lax,departure_to_atl,departure_count_atl,arrival_airport_atl,iata_atl
Stewart,16,Los Angeles International,LAX,Spokane International,31,Hartsfield-jackson Atlanta International,ATL
Cincinnati/Northern Kentucky,759,Los Angeles International,LAX,Gallatin Field,27,Hartsfield-jackson Atlanta International,ATL
Nanjing Lukou International Airport,39,Los Angeles International,LAX,Albuquerque International,56,Hartsfield-jackson Atlanta International,ATL
Washington Dulles International,452,Los Angeles International,LAX,Jackson Hole,55,Hartsfield-jackson Atlanta International,ATL
Tampa International,767,Los Angeles International,LAX,San Antonio International,236,Hartsfield-jackson Atlanta International,ATL
Frankfurt International Airport,229,Los Angeles International,LAX,Kona International Airport,50,Hartsfield-jackson Atlanta International,ATL
Sharjah International Airport,38,Los Angeles International,LAX,Lihue,12,Hartsfield-jackson Atlanta International,ATL
Philadelphia International,179,Los Angeles International,LAX,Haneda Airport,15,Hartsfield-jackson Atlanta International,ATL
Arturo Merino Benitez,15,Los Angeles International,LAX,Missoula International,3,Hartsfield-jackson Atlanta International,ATL
Rogue Valley International - Medford Airport,179,Los Angeles International,LAX,Philadelphia International,422,Hartsfield-jackson Atlanta International,ATL
Licenciado Gustavo Díaz Ordaz International,310,Los Angeles International,LAX,Guam International,7,Hartsfield-jackson Atlanta International,ATL
Auckland International,50,Los Angeles International,LAX,Manzanillo,1,Hartsfield-jackson Atlanta International,ATL
Kingsford Smith,563,Los Angeles International,LAX,Charles De Gaulle,138,Hartsfield-jackson Atlanta International,ATL
Kahului,418,Los Angeles International,LAX,Brisbane International,12,Hartsfield-jackson Atlanta International,ATL
Minneapolis - St. Paul International,194,Los Angeles International,LAX,Beijing Capital International,2,Hartsfield-jackson Atlanta International,ATL
Memphis International,258,Los Angeles International,LAX,Southwest Florida International,764,Hartsfield-jackson Atlanta International,ATL
La Aurora,225,Los Angeles International,LAX,Litchfield,8,Hartsfield-jackson Atlanta International,ATL
